course,episode,lesson,infinitive,part of speech,audio,japanese,example
Friends Season 1,4,1,insecure,adj.,4 insecure.mp3,不安である,"Phoebe: My grandmother has this new boyfriend, and they’re both kind of {{c1::insecure::不安である}} in bed, so--and deaf."
Friends Season 1,4,1,deaf,adj.,5 deaf.mp3,耳が聞こえない,"Phoebe: My grandmother has this new boyfriend, and they’re both kind of insecure in bed, so--and {{c1::deaf::耳が聞こえない}}."
Friends Season 1,4,1,constantly,adv.,6 constantly.mp3,常に,"So, they’re {{c1::constantly::常に}}, like, having to reassure each other that they’re having a good time. You have no idea how loud they are."
Friends Season 1,4,1,to reassure,v.,7 reassure.mp3,安心させる,"So, they’re constantly, like, having to {{c1::reassure::安心させる}} each other that they’re having a good time. You have no idea how loud they are."
Friends Season 1,4,1,a costume,n.,8 costumes.mp3,コスチューム,Chandler: Eleven days before the Halloween? All the good {{c1::costumes::コスチューム}} are gone?
Friends Season 1,4,1,to consummate,v.,9 consummated.mp3,結婚を完全なものにする,Ross: Today is the day Carol and I first {{c1::consummated::結婚を完全なものにした}} our physical relationship... with sex.
Friends Season 1,4,1,to pass on (an invitation or social event),p.v.,10 pass on.mp3,パスする,"Ross: You know what, I- I better {{c1::pass on::パスする}} the game. I think I’m just gonna go home and think about my ex-wife and her lesbian lover."
Friends Season 1,4,1,To hell with (thing)!,expr.,11 to hell with.mp3,〜なんてくそ食らえ,Joey: {{c1::To hell with::〜なんてくそ食らえ}} hockey! Let’s all do that!
Friends Season 1,4,1,guys' night out,n.,12 guys night out.mp3,男友達の外出,"Chandler: Come on, Ross! You, me, Joey, ice. {{c1::Guys' night out::男友達の外出}}! Come on, what do you say, big guy? Huh? Huh? Huh?"
Friends Season 1,4,1,to take your mind off of ,expr.,13 take my mind off of.mp3,気晴らしになる,"Ross: Alright, alright. Maybe it will {{c1::take my mind off::気晴らしになる}} it. You promise to buy me a big foam finger?"
Friends Season 1,4,1,a paycheck,n.,14 paycheck.mp3,給料,"Rachel: Look- look- look- look! My first {{c1::paycheck::給料}}. Look at the window. There’s my name! Hi, me!"
Friends Season 1,4,1,a cave-in,n.,15 a cave in.mp3,崩落,Phoebe: I remember the day when I got my first paycheck. There was {{c1::a cave-in::崩落}} in one of the mines and eight people were killed.
Friends Season 1,4,1,a mine,n.,16 the mines.mp3,鉱山,Phoebe: I remember the day when I got my first paycheck. There was a cave-in in one of {{c1::the mines::鉱山}} and eight people were killed.
Friends Season 1,4,2,wild (to mean 野生),adj.,17 wild.mp3,野生,"Monica: I swear I've seen birds do this on ""{{c1::Wild::野生}} Kingdom."""
Friends Season 1,4,2,a duplex,n.,18 a duplex.mp3,二世帯住宅,"Lady 1: I know, I know. I’m {{c1::a duplex::二世帯住宅}}."
Friends Season 1,4,2,partner (in a law firm),n.,19 partner.mp3,(法律事務所の)共同経営者,"Lady 3: Well, guess who my dad’s making {{c1::partner::共同経営者}} in his firm?"
Friends Season 2,4,2,firm,n.,20 firm.mp3,会社/法律事務所,"Lady 3: Well, guess who my dad’s making partner in his {{c1::firm::会社/法律事務所}}?"
Friends Season 1,4,2,a pit,n.,21 pit peach pit.mp3,果物の種,"--Ross: Peach {{c1::pit::果物の種}}. --Chandler: Yes, bunny?"
Friends Season 1,4,2,the dirt,n.,22 the dirt.mp3,うわさ話,"Rachel: Oh, come on you guys! Tell me all {{c1::the dirt::うわさ話}}."
Friends Season 1,4,2,a slumber party,n.,23 a slumber party.mp3,お泊まり会,Monica: We thought since Phoebe was staying over tonight we’d have kind of {{c1::a slumber party::お泊まり会}} thing. 
Friends Season 1,4,2,trashy,adj.,24 trashy.mp3,くだらない,Monica: We got {{c1::trashy::くだらない}} magazines. We got cookie dough. We got “Twister.”
Friends Season 1,4,2,cookie dough,n.,25 cookie dough.mp3,クッキーの生地,Monica: We got trashy magazines. We got {{c1::cookie dough::クッキーの生地}}. We got “Twister.”
Friends Season 1,4,2,tweezers,n.,26 tweezers.mp3,ピンセット,"Phoebe: Ooh! Ooh! And I brought “Operation.” But I um, lost the {{c1::tweezers::ピンセット}} so we can’t operate. But we can prep the guy!"
Friends Season 1,4,2,to prep,v.,27 prep.mp3,準備する,"Phoebe: Ooh! Ooh! And I brought “Operation.” But I um, lost the tweezers so we can’t operate. But we can {{c1::prep::準備する}} the guy! "
Friends Season 1,4,3,now that you mention it,expr.,28 now that you mention it.mp3,そんなことを言うから,"Ross: No. Actually, I was just saying it looks like we’re not sitting together. But {{c1::now that you mention it::そんなことを言うから}}, there was ice there that night. It was the first frost."
Friends Season 1,4,3,a frost,n.,29 frost.mp3,霜,"Ross: No. Actually, I was just saying it looks like we’re not sitting together. But now that you mention it, there was ice there that night. It was the first {{c1::frost::霜}}."
Friends Season 1,4,3,to give up (something),p.v.,30 gave up.mp3,放棄する,"Phoebe: Yeah, right. See, he {{c1::gave up::放棄した}} something. But he got those magic beans. "
Friends Season 1,4,3,to figure out,p.v.,31 figured out.mp3,方向性を決める,"Rachel: But see, it was a plan. You know? It was clear. Everything was {{c1::figured out::～が決まった}} and now everything’s just kind of like..."
Friends Season 1,4,3,half the time,expr.,32 half the time.mp3,しばしば,"Monica: Well, you’re not the only one. I mean, {{c1::half the time::しばしば}}, we don’t know where we’re going. "
Friends Season 1,4,3,to figure,v.,33 figure.mp3,思う,"Monica: I mean, you just got to {{c1::figure::思う}}, at some point, it’s all gonna come together. And it’s just gonna be “un-floopy.”"
Friends Season 1,4,3,to come together,p.v.,34 come together.mp3,うまくいく,"Monica: I mean, you just got to figure, at some point, it’s all gonna {{c1::come together::うまくいく}}. And it’s just gonna be “un-floopy.”"
Friends Season 1,4,3,pal,expr.,35 pal.mp3,仲間,"Ross: Get him! Get him! Yes, you’re not laughing now, are you, {{c1::pal::仲間}}?"
Friends Season 1,4,3,toothless,adj.,36 toothless.mp3,歯の無い,Chandler: Alright. That’s right. All you need are bunch of {{c1::toothless::歯の無い}} guys hitting each other with sticks.
Friends Season 1,4,3,to be open (sports),p.v.,37 open.mp3,ガードされていない,Chandler: He’s {{c1::open::ガードされていない}}! He’s {{c1::open::ガードされていない}}! Shoot it! Shoot it!
Friends Season 1,4,3,a predicament,n.,38 predicament.mp3,窮地,"Chandler: Listen, it’s kind of an emergency. Well, I guess you know that, or we’d be in the {{c1::predicament::窮地}} room."
Friends Season 1,4,3,to fill out,p.v.,39 fill these out.mp3,記入する,Nurse: Hold on. {{c1::Fill::記入する}} these {{c1::out::}}. Sit over there!
Friends Season 1,4,3,dented,adj.,40 dented.mp3,凹んでいる,"Ross: Look, look, look! Look, I don’t want to make any trouble, okay? But I’m in a lot of pain here, all right? My face is {{c1::dented::凹んでいる}}."
Friends Season 1,4,3,wait your turn,expr.,41 wait your turn.mp3,順番を待つ,"Nurse: Well, you’ll have to {{c1::wait your turn::順番を待つ}}."
Friends Season 1,4,3,to bring (someone) down,p.v.,42 bring you down.mp3,雰囲気を悪くする,"Rachel: Uh, I’m so sorry you guys. I didn’t mean to {{c1::bring::雰囲気を悪くする}} you {{c1::down::}}."
Friends Season 1,4,4,the crust,n.,43 crust.mp3,ピザのクラスト,"Rachel: No, no, no... That’s not what we ordered. We ordered a fat-free {{c1::crust::ピザのクラスト}} with extra cheese!"
Friends Season 1,4,4,to klll (someone) (figuratively),v.,44 kill.mp3,殺す,"Pizza: Wait, you’re not G. Stephanopolous? Oh, man. My dad’s gonna {{c1::kill::殺す}} me!"
Friends Season 1,4,4,curiously,adv.,45 curiously.mp3,普通ではない,Monica: Wait. Was this a small Mediterranean guy with {{c1::curiously::普通ではない}} intelligent good looks?
Friends Season 1,4,4,stunning,adj.,46 stunning.mp3,魅力的な,Monica: Was he—was he wearing a {{c1::stunning::魅力的な}} blue suit?
Friends Season 1,4,4,to spy on,p.v.,47 spying on.mp3,偵察する,Rachel: Hello? Who are we {{c1::spying on::偵察している}}?
Friends Season 1,4,4,an advisor,n.,48 advisor.mp3,相談役・顧問,"Monica: You know the White House {{c1::advisor::相談役・顧問}}? Clinton’s campaign guy? The one with the great hair, sexy smile, really cute butt."
Friends Season 1,4,4,a campaign,n.,49 campaign.mp3,選挙活動,"Monica: You know the White House advisor? Clinton’s {{c1::campaign::選挙活動}} guy? The one with the great hair, sexy smile, really cute butt."
Friends Season 1,4,4,to draw (someone) out,p.v.,50 draw him out.mp3,その気にさせる,"Monica: I think you have to {{c1::draw::その気にさせる}} him {{c1::out::}}. And then when you do, he’s a preppy animal."
Friends Season 1,4,4,preppy,adj.,51 preppy.mp3,しっかりした学生のような,"Monica: I think you have to draw him out. And then when you do, he’s a {{c1::preppy::しっかりした学生のような}} animal."
Friends Season 1,4,4,moonlight,n.,52 moonlight.mp3,月光,"Ross: I remember the {{c1::moonlight::月光}} coming in through the open window, and her face had the most incredible glow."
Friends Season 1,4,4,incredible,adj.,53 incredible.mp3,信じられない,"Ross: I remember the moonlight coming in through the open window, and her face had the most {{c1::incredible::信じられない}} glow."
Friends Season 1,4,4,a part (as in acting a certain way),n.,54 part.mp3,それはもう聞いたよ,"Chandler: Yes, the moon, the glow, the magical feeling. You did this {{c1::part::それはもう聞いたよ}}. Could I get some painkillers over here, please?"
Friends Season 1,4,4,painkillers,n.,55 painkillers.mp3,痛み止め,"Chandler: Yes, the moon, the glow, the magical feeling. You did this part. Could I get some {{c1::painkillers::痛み止め}} over here, please?"
Friends Season 1,4,4,a coma,n.,56 a coma.mp3,昏睡状態,"Ross: A little louder, okay? There’s a man on the 12th floor in {{c1::a coma::昏睡状態}} who didn’t quite hear you."
Friends Season 1,4,5,a goose,n.,57 goose.mp3,がん (鳥),"Monica: Well, unless {{c1::goose::がん (鳥)}} is a vegetable...!"
Friends Season 1,4,5,a valentine (meaning a valentine card),n.,58 a valentine.mp3,バレンタインカード,"Rachel: Okay, okay, okay, I got one. Anyway, the {{c1::valentine::バレンタインカード}} Tommy Rollerson left in your locker was really from me."
Friends Season 1,4,5,a freak,n.,59 a freak.mp3,変わり者,"Chandler: Nah, you kidding? The guy’s {{c1::a freak::変わり者}}. I judge him."
Friends Season 1,4,5,attractive,adj.,60 attractive.mp3,魅力的,"Nurse: Oh, that’s {{c1::attractive::魅力的}}."
Friends Season 1,4,5,all things considered,expr.,61 all things considered.mp3,全て考慮すると,"Chandler: Oh, I thought you were great in Silence of the Lambs. Oh, come on! Admit it, {{c1::all things considered::全て考慮すると}}, you had fun tonight."
Friends Season 1,4,5,specifically,adv.,62 specifically.mp3,具体的に・はっきりと,Ross: Fun? Where was the fun? Tell me {{c1::specifically::具体的に・はっきりと}} which part was the fun part? Where’s my puck?
Friends Season 1,4,5,a puck,n.,63 puck.mp3,パック(アイスホッケー),Ross: Fun? Where was the fun? Tell me specifically which part was the fun part? Where’s my {{c1::puck::パック(アイスホッケー)}}?
Friends Season 1,4,5,rubber,n.,64 rubber.mp3,ゴム,"Ross: Oh yeah, well, I’m {{c1::rubber::ゴム}}, you’re glue. Whatever you… I can’t do it. Listen, uh, give me back my puck."
Friends Season 1,4,5,roughhousing,n.,65 roughhousing.mp3,馬鹿騒ぎ,Nurse: Hey—hey! No {{c1::roughhousing::馬鹿騒ぎ}} in my ER!
Friends Season 1,4,5,to take (someone's) place,p.v.,66 take my mind off.mp3,代わりになる,"--Chandler: Hello? Oh, uh, Rachel. It’s the VISA card people. --Rachel: Oh, okay, will you {{c1::take::代わりになる}} my {{c1::place::}}?"
Friends Season 1,5,1,Let it go.,expr.,1 let it go.mp3,放っておく,Monica: Would you {{c1::let it go::}}? It’s not that big a deal.
Friends Season 1,5,1,a big deal,expr.,2 big deal not that big a deal.mp3,大事,Monica: Would you let it go? It’s not that {{c2::big a deal::大事}}.
Friends Season 1,5,1,a maneuver,n.,3 maneuver.mp3,動き,"Ross: It’s amazing. Okay? You just reach in there, there’s one little {{c1::maneuver::動き}} and bam! A bra. Right out the sleeve."
Friends Season 1,5,1,sleeve,n.,4 sleeve.mp3,袖,"Ross: It’s amazing. Okay? You just reach in there, there’s one little maneuver and bam! A bra. Right out the {{c1::sleeve::袖}}."
Friends Season 1,5,1,as far as I'm concerned,expr.,5 as far as im concerned.mp3,自分に言わせれば,"Ross: {{c1::As far as I’m concerned::自分に言わせれば}}, there is nothing a guy can do that even comes close. Am I right here?"
Friends Season 1,5,1,to come close,p.v.,6 comes close.mp3,近くに来る,"Ross: As far as I’m concerned, there is nothing a guy can do that even {{c2::comes close::近くに来る}}. Am I right here?"
Friends Season 1,5,1,to blow (someone's) mind,p.v.,7 blows my mind.mp3,驚かせる,Joey: You know what {{c1::blows my mind::驚かせる}}? Women can see breasts anytime they want. You just look down and there they are. How you get any work done is {{c2::beyond me::自分の理解を超える}}.
Friends Season 1,5,1,beyond me,expr.,8 beyond me.mp3,自分の理解を超える,Joey: You know what blows my mind? Women can see breasts anytime they want. You just look down and there they are. How you get any work done is {{c2::beyond me::自分の理解を超える}}.
Friends Season 1,5,1,get up the courage to,p.v.,10 get up the courage to.mp3,勇気をふり絞る,"Chandler: I mean, you’re sitting there with her. She has no idea what’s happening. And then you finally {{c1::get up the courage to::〜する勇気を振り絞る}} do it."
Friends Season 1,5,1,awkward,adj.,11 awkward.mp3,気まずい,Chandler: There’s a horrible {{c1::awkward::気まずい}} moment when you’ve handed her the note.
Friends Season 1,5,1,to gang up on,p.v.,12 ganging up on.mp3,集団で襲いかかる,"--Phoebe: If you want, I’ll do it with you. --Chandler: Oh, thanks. But I think she’d feel like we we’re {{c1::ganging up on::集団で襲いかかる}} her."
Friends Season 1,5,1,a hunger strike,n.,13 hunger strike.mp3,ハンガーストライキ,"Phoebe: Yeah. I know, he’s sweet, but it’s just not fun anymore, you know? I don’t know if it’s me, or his {{c1::hunger strike::ハンガーストライキ}}. Or I don’t know."
Friends Season 1,5,1,burns me up,expr.,14 burns me up.mp3,頭にくる,Ross: That guy. He {{c1::burns me up::頭にくる}}.
Friends Season 1,5,1,a chorus,n.,15 choruses.mp3,サビ,"Rachel: Oh yeah, yeah, I actually got the extended disco version with three {{c1::choruses::サビ}} of “You’ll never make it on your own.”"
Friends Season 1,5,1,to agree with (someone),p.v.,16 agrees with.mp3,体質に合う,Monica: Wow. Being dumped by you obviously {{c1::agrees with::体質に合う}} her.
Friends Season 1,5,1,eager,adj.,17 eager.mp3,切望している,"Joey: Okay, but not yet. I don’t wanna seem too {{c1::eager::切望している}}. One Mississippi, two Mississippi, three Mississippi. That seems pretty cool."
Friends Season 1,5,1,to accent (a feature),v.,18 accents.mp3,強調する,Angela: That’s 'cause I’m wearing a dress that {{c1::accents::強調する}} my boobs.
Friends Season 1,5,1,You don't say!,expr.,19 you dont say.mp3,本当に？(驚き),Joey: {{c1::You don't say!::冗談でしょう}}
Friends Season 1,5,1,glamor,n.,20 glamor.mp3,魅力的な,"Rachel: Oh, big {{c1::glamor::魅力的な}} night. Me and Monica at Launderama."
Friends Season 1,5,1,freakish,adj.,21 freakish.mp3,奇妙な,"Ross: Oh, you wanna hear a {{c1::freakish::奇妙な}} coincidence? Guess who’s doing laundry there too?"
Friends Season 1,5,1,a coincidence,n.,22 coincidence.mp3,偶然,"Ross: Oh, you wanna hear a freakish {{c1::coincidence::偶然}}? Guess who’s doing laundry there too?"
Friends Season 1,5,1,sophisticated,adj.,23 sophisticated.mp3,教養のある,"Angela: Bob is great. He’s smart, he’s {{c1::sophisticated::教養のある}}, and he has a real job. You! You go on three auditions a month and call yourself an actor. But Bob…."
Friends Season 1,5,1,an audition,n.,24 auditions.mp3,オーディション,"Angela: Bob is great. He’s smart, he’s sophisticated, and he has a real job. You! You go on three {{c2::auditions::オーディション}} a month and call yourself an actor. But Bob…."
Friends Season 1,5,2,Forget it!,expr.,25 forget it.mp3,もういい！,Monica: {{c1::Forget it::もういい}}! Not after your cousin who could {{c2::belch::ゲップする}} the alphabet.
Friends Season 1,5,2,to belch,v.,26 belch.mp3,ゲップする,Monica: Forget it! Not after your cousin who could {{c2::belch::ゲップする}} the alphabet.
Friends Season 1,5,2,minimal,adj.,27 minimal.mp3,最小限,Ross: It’s laundry. The thinking through is pretty {{c1::minimal::最低限}}.
Friends Season 1,5,2,to rethink,v.,28 rethink.mp3,考え直す,"Chandler: Well, you may wanna {{c1::rethink::考え直す}} the dirty underwear. What? This is basically the first time she’s gonna see your underwear. Do you want it to be dirty?"
Friends Season 1,5,2,fabric softener,n.,29 fabric softener.mp3,柔軟剤,"Chandler: Oh, and uh, the {{c1::fabric softener::柔軟剤}}."
Friends Season 1,5,2,sensitive,adj.,30 sensitive.mp3,敏感な,"Ross: Okay, okay. Now, what is wrong with my Snuggles? What? It says I’m a {{c1::sensitive::敏感}}, warm kind of guy. You know, like a warm, fuzzy bear."
Friends Season 1,5,2,warm (person),adj.,31 warm.mp3,温かい,"Ross: Okay, okay. Now, what is wrong with my Snuggles? What? It says I’m a sensitive, {{c1::warm::温かい}} warm kind of guy. You know, like a {{c1::warm::温かい}}, fuzzy bear."
Friends Season 1,5,2,to pick (something) up,p.v.,32 pick something else up on the way.mp3,(必要なものを) 買う,--Ross: Alright. I can {{c1::pick::(必要なものを) 買う}} something else {{c1::up::}} on the way. --Chandler: There you go.
Friends Season 1,5,2,There you go.,expr.,33 there you go.mp3,そうこなくちゃ,--Ross: Alright. I can pick something else up on the way. --Chandler: {{c1::There you go::そうこなくちゃ}}.
Friends Season 1,5,2,horribly,adj.,34 horribly.mp3,ものすごく,"Monica: Oh my God! Joey, for all we know, this guy could be {{c1::horribly::ものすごく}}— --Angela: Hey Joey! --Monica: {{c1::Horribly::ものすごく}} attractive."
Friends Season 1,5,2,just the (number) of us,expr.,35 just the two of us.mp3,〜人だけで,"Phoebe: This is nice. We never do anything, {{c1::just the::〜人だけで}} two {{c1::of us::〜人だけで}}."
Friends Season 1,5,2,supremely,adv.,36 supremely.mp3,極めて,Janice: Oh my god. I am so glad you called me. I had the most {{c1::supremely::極めて}} awful day.
Friends Season 1,5,2,proofs,n.,37 proofs.mp3,サンプルの写真,"Janice: Oh! We got the {{c1::proofs::サンプルの写真}} from the photo shoot, you know, with the little vegetables. And they pretty much sucked."
Friends Season 1,5,2,to suck,v.,38 sucked.mp3,最悪である,"Janice: Oh! We got the proofs from the photo shoot, you know, with the little vegetables. And they pretty much {{c1::sucked::最悪である}}."
Friends Season 1,5,2,to blow off,p.v.,39 blew off.mp3,サボる,Janice: So I {{c1::blew off::サボった}} the rest of the afternoon. I went shopping. And I got you…. I’m looking. I’m looking… I got you...
Friends Season 1,5,2,to work on (food or drink),p.v.,40 workin on.mp3,まだ食べている・飲んでいる,"--Chandler: Well, I’m gonna get another espresso. More latte? --Janice: No, no I’m still {{c1::workin’ on::飲んでいる}} mine. "
Friends Season 1,5,2,brutal,adj.,41 brutal.mp3,残酷な,"Chandler: Oh, yeah. The hug looked pretty {{c1brutal::残酷な::}}."
Friends Season 1,5,3,Coming through!,expr.,42 coming through.mp3,通るよ！,"Mitzi: {{c1::Comin' through!::通るよ！}} Move, move!"
Friends Season 1,5,3,to save (a seat or something),v.,43 saved i saved it.mp3,(席などを)とっていた,Rachel: But I-I {{c1::saved::(席などを)とっていた}} it. I put my basket on top.
Friends Season 1,5,3,suds,n.,44 suds.mp3,石けんの泡,"Mitzi: It’s really pretty. Unfortunately, I don’t see {{c1::suds::}}!"
Friends Season 1,5,3,to send back (food ordered),p.v.,45 send back.mp3,返品する,Rachel: That was amazing. I can’t even {{c1::send back::返品する}} soup.
Friends Season 1,5,3,detergent,n.,46 detergent.mp3,洗剤,"Ross: Well, that’s um, that’s because you are such a sweet, gentle, uh….Um. Uh, do you, uh, do you, oh, hey! You must need {{c1::detergent::洗剤}}."
Friends Season 1,5,3,a spaz,n.,47 spaz.mp3,どんくさい人,"Rachel: Oh, God. Oh! Am I being like a total laundry {{c1::spaz::どんくさい人}}?"
Friends Season 1,5,3,delicates (laundry),n.,48 delicates.mp3,傷みやすい衣類,"Ross: And um, a third for your, your uh, {{c1::delicates::傷みやすい衣類}}. And, that would be your bras and your... underpanty things."
Friends Season 1,5,3,a judgement call,n.,49 a judgement.mp3,審判の判定,Ross: That-that-that would be {{c1::a judgment call::審判の判定}}.
Friends Season 1,5,4,"nibbly (from ""to nibble"")",adj.,50 nibbly.mp3,ちびちびかじる,"Joey: You’re a lucky man. You know what I miss the most about her? That cute {{c1::nibbly::ちびちびかじる}} noise she makes when she eats. Like a happy little squirrel or, or a weasel."
Friends Season 1,5,4,unbelievable,adj.,51 unbelievable.mp3,信じられないくらい良い,Angela: You know what else? He’s unbelievable in bed.
Friends Season 1,5,4,a wound,n.,52 wound.mp3,傷口,"Phoebe: Okay. You can do this. It’s just like pulling off a Band-Aid. Okay? Just do it really fast, and then the {{c1::wound::傷口}} is exposed. Go! Go!"
Friends Season 1,5,4,exposed,adj.,53 exposed.mp3,さらされる,"Phoebe: Okay. You can do this. It’s just like pulling off a Band-Aid. Okay? Just do it really fast, and then the wound is {{c1::exposed::さらされる}}. Go! Go!"
Friends Season 1,5,5,to inflate,v.,54 inflate.mp3,空気で膨らませる,"Monica: Something went wrong with Underdog and they couldn’t get his head to {{c1::inflate::空気で膨らませる}}. So anyway, um… his head is like flopping down Broadway right?"
Friends Season 1,5,5,rambunctious,adj.,55 rambunctious.mp3,手に負えない,"Joey: Oh, like you’ve never gotten a little {{c1::rambunctious::手に負えない}} with Ross."
Friends Season 1,5,5,to put (our/their) heads together,p.v.,56 put our heads together.mp3,一緒に考える,"Joey: Yeah. Listen. I’m thinking, if we {{c1::put::一緒に考える}} our {{c1::heads together}}, between two of us, we can break them up."
Friends Season 1,5,5,jammies,n.,57 jammies.mp3,パジャマ (スラング),"--Ross: You got the clothes clean. Now, that’s the important part. --Rachel: Oh, I guess. Except everything looks like {{c1::jammies::パジャマ}} now."
Friends Season 1,5,5,"neat (meaning ""cool,"" not ""tidy""",adj.,58 neat.mp3,良い・素敵な,Phoebe: What a {{c1::neat::良い・素敵な}} idea. All your clothes match. I’m gonna do this.
Friends Season 1,5,5,to rip,v.,59 ripped.mp3,引き裂く,Monica: We {{c1::ripped::引き裂いた}} that couple apart and kept the pieces for ourselves.
Friends Season 1,5,5,to grieve,v.,60 grieve.mp3,(人の死などを)ひどく悲しむ,Phoebe: He needed some time to {{c1::grieve::悲しむ}}.
Friends Season 1,6,1,to spot,v.,1 spot.mp3,見つける/気づく,"Chandler: Oh, you can always {{c1::spot::見つける}} someone who’s never seen one of his plays before. Notice no fear, no sense of impending doom."
Friends Season 1,6,1,impending doom (usually used together as a set),n.,2 impending doom.mp3,差し迫った運命,"Chandler: Oh, you can always spot someone who’s never seen one of his plays before. Notice no fear, no sense of {{c1::impending doom::差し迫った運命}}."
Friends Season 1,6,1,violated,adj.,3 violated.mp3,犯された,"Rachel: Oh, I feel {{c1::violated::犯された}}."
Friends Season 1,6,1,to peel,v.,4 peel.mp3,剥く,Monica: Did anybody else feel like they just wanted to {{c1::peel::剥く}} the skin off their body to have something else to do?
Friends Season 1,6,1,an opening line,n.,5 opening line.mp3,出だし文句,"Chandler: Oh, yeah, right. And what would my {{c1::opening line::出だし文句}} be? Excuse me, blah-blah-blah."
Friends Season 1,6,1,out of (my/your) league,expr.,6 out of my league.mp3,高嶺の花,"Chandler: Oh please. Could she be more {{c1::out of::高嶺の花}} my {{c1::league::}}? Ross, back me up here."
Friends Season 1,6,1,to be aware of,p.v.,7 aware of.mp3,意識している,"Chandler: Oh God! I can’t believe I’m even considering this. I’m very, very {{c1::aware of::意識している}} my tongue."
Friends Season 1,6,1,Here it goes.,expr.,8 here it goes.mp3,さあやるぞ,"--Ross: Come on, come on! --Chandler: {{c1::Here it goes::さあやるぞ}}."
Friends Season 1,6,1,the lead,n.,9 the lead.mp3,主役,"Joey: Come on, you guys. It wasn’t that bad. I was {{c1::the lead::主役}}. It was better than that thing with the troll. At least you got to see my head."
Friends Season 1,6,1,a troll,n.,10 troll.mp3,トロール,"Joey: Come on, you guys. It wasn’t that bad. I was the lead. It was better than that thing with {{c1::the troll::トロール}}. At least you got to see my head."
Friends Season 1,6,1,talent agency,n.,11 talent agency.mp3,芸能事務所,"Joey: The Estelle Leonard {{c1::Talent Agency::芸能事務所}}. Wow, an {{c1::agency}} left me its card. Maybe they wanna sign me."
Friends Season 1,6,1,to sign (someone),v.,12 sign.mp3,契約する・雇用する,"Joey: The Estelle Leonard Talent Agency. Wow, an agency left me its card. Maybe they wanna {{c1::sign::契約する・雇用する}} me."
Friends Season 1,6,1,based on,expr.,13 based on.mp3,基づいて・根拠に,Phoebe: {{c1::Based on::基づいて・根拠に}} this play? {{c1::Based on::基づいて・根拠に}} this play!
Friends Season 1,6,2,passion,n.,14 passion.mp3,感情線,"Phoebe: No, because this line is {{c1::passion::感情線}} and this is just a line."
Friends Season 1,6,2,the border,n.,15 the border.mp3,国境線,"Aurora: Luckily, none of the bullets hit the engine block so we made it to {{c1::the border::国境線}}. But just barely."
Friends Season 1,6,2,just barely,adv.,16 just barely.mp3,ギリギリで,"Aurora: Luckily, none of the bullets hit the engine block so we made it to the border. But {{c1::just barely::ギリギリで}}."
Friends Season 1,6,2,for the hell of it,expr.,17 for the hell of it.mp3,何の用もなく・面白半分に,"Chandler: Once, once... I got on the subway, right? And it was at night. And I rode it all the way to Brooklyn. Just {{c1::for the hell of it::何の用もなく・面白半分に}}."
Friends Season 1,6,2,widowed,adj.,18 widowed.mp3,夫を亡くしている,"Chandler: Oh, I’m, I'm sorry. So you’re {{c1::widowed::夫を亡くしている}}...? Hopefully."
Friends Season 1,6,2,twisted,adj.,19 twisted.mp3,ねじ曲がった,"Monica: Didn’t you listen to the story? I mean, this is {{c1::twisted::ねじ曲がった}}. How could you get involved with a woman like this?"
Friends Season 1,6,2,to get involved with,p.v.,20 get involved.mp3,関わる,"Monica: Didn’t you listen to the story? I mean, this is twisted. How could you {{c1::get involved with::関わる}} a woman like this?"
Friends Season 1,6,2,to have trouble with,p.v.,21 had trouble with.mp3,てこずる,"Chandler: Well, you know, I {{c1::had trouble with::てこずる}} it at first, too."
Friends Season 1,6,2,(someone's) fantasy,n.,22 fantasy.mp3,夢,Chandler: I mean this is every guy’s {{c1::fantasy::夢}}.
Friends Season 1,6,2,monogamy,n.,23 monogamy.mp3,一夫一婦制,"Ross: Well you know, {{c1::monogamy::一夫一婦制}} can be a tricky concept. I mean, anthropologically speaking…"
Friends Season 1,6,2,anthropologically speaking,expr.,24 anthropologically speaking.mp3,人類学的に言って,"Ross: Well you know, monogamy can be a tricky concept. I mean, {{c1::anthropologically speaking::人類学的に言って}}…"
Friends Season 1,6,2,to put forth,p.v.,25 put forth.mp3,(アイディアを)出す,Ross: All right. There’s a theory {{c1::put forth::(アイディアを)出す}} by Richard Leakey… Oh.
Friends Season 1,6,2,the attachments,n.,26 the attachments.mp3,付属品,Rachel: I even used all {{c1::the attachments::付属品}} on the vacuum except for that little round one with the bristles on it. I don’t know what that’s for.
Friends Season 1,6,2,the bristles,n.,27 the bristles.mp3,固い毛,Rachel: I even used all the attachments on the vacuum except for that little round one with {{c1::the bristles::固い毛}} on it. I don’t know what that’s for.
Friends Season 1,6,2,an ottoman,n.,28 ottoman the green ottoman.mp3,オットマン,"Monica: Really, it looks great. Oh. I, I see you moved the green {{c1::ottoman::オットマン}}."
Friends Season 1,6,2,to fan out,p.v.,29 fan out.mp3,広げる,Chandler: Thank God you didn’t try to {{c1::fan out::広げる}} the magazines. I mean she’ll scratch your eyes right out.
Friends Season 1,6,2,raggedy,adj.,30 raggedy.mp3,みすぼらしい,"Ross: Oh, come on. When we were kids, yours was the only {{c1::Raggedy::みすぼらしい}} Ann doll that wasn’t {{c1::raggedy::みすぼらしい}}."
Friends Season 1,6,2,organized,adj.,31 organized.mp3,几帳面,"Monica: Okay. So I’m responsible. I’m {{c1::organized::几帳面}}. But hey, I can be a kook."
